,CD,CS,Energy,Financials,Healthcare,Industrials,IT,Materials,RealEstate,Telecom,Utilities
1998Q4,2,8,1,5,10,4,6,11,7,9,3
1999Q2,1,2,5,9,11,10,6,8,4,3,7
1999Q4,2,4,9,10,11,1,3,7,5,8,6
2000Q2,3,10,9,7,11,1,2,5,8,4,6
2000Q4,6,4,5,7,10,11,2,3,9,1,8
2001Q2,4,2,7,9,8,11,3,6,10,1,5
2001Q4,2,3,10,11,5,1,7,9,8,4,6
2002Q2,3,10,9,11,4,6,2,8,1,5,7
2002Q4,7,9,3,11,5,10,1,6,4,2,8
2003Q2,6,11,3,9,4,7,1,5,10,2,8
2003Q4,7,11,5,6,2,1,3,4,10,9,8
2004Q2,7,11,6,10,2,1,3,4,5,9,8
2004Q4,8,11,4,10,9,1,3,2,7,5,6
2005Q2,8,11,3,6,5,9,1,4,10,7,2
2005Q4,1,11,5,4,2,10,3,7,9,8,6
2006Q2,2,11,5,3,10,7,4,1,6,9,8
2006Q4,2,11,8,3,10,5,6,1,4,9,7
2007Q2,4,11,10,2,9,1,7,5,3,8,6
2007Q4,8,11,9,2,10,3,4,6,1,7,5
2008Q2,8,11,4,9,10,1,2,5,3,7,6
2008Q4,2,11,5,8,6,10,3,1,4,9,7
2009Q2,2,11,10,9,6,8,3,1,5,7,4
2009Q4,2,11,8,6,7,5,3,9,1,10,4
2010Q2,7,11,3,9,8,5,2,4,1,10,6
2010Q4,7,11,1,2,9,4,3,6,5,10,8
2011Q2,8,11,3,6,4,7,2,5,1,10,9
2011Q4,6,11,1,8,2,9,7,4,3,10,5
2012Q2,7,5,6,4,2,11,1,10,3,9,8
2012Q4,11,5,6,4,3,10,1,8,2,7,9
2013Q2,3,5,10,9,1,11,2,7,4,8,6
2013Q4,1,6,11,7,4,8,3,9,2,10,5
2014Q2,3,9,10,5,4,11,2,6,1,7,8
2014Q4,5,11,10,4,1,6,3,7,2,9,8
2015Q2,7,8,11,2,5,1,4,10,3,6,9
2015Q4,3,9,11,5,4,1,2,10,6,8,7
2016Q2,1,9,11,10,4,2,3,8,5,6,7
2016Q4,1,8,10,11,4,7,3,2,5,9,6
2017Q2,5,11,4,9,3,8,2,1,6,10,7
2017Q4,2,10,5,7,1,9,3,4,8,11,6
2018Q2,5,9,8,6,3,10,1,2,7,11,4
